item,unit,price,currency
"Oil (soybean, fortified)",L,154.0,BDT
Lentils (masur),KG,130.0,BDT
Chili (green),KG,155.0,BDT
"Garlic (imported, China)",KG,230.0,BDT
"Onions (imported, China)",KG,100.0,BDT
Papaya (green),KG,20.0,BDT
Snake gourd,KG,35.5,BDT
Spinach (malabar),KG,24.0,BDT
Rice (coarse),KG,49.0,BDT
Wheat flour,KG,51.25,BDT
Eggs (brown),1 piece,12.5,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
"Oil (soybean, fortified)",L,146.25,BDT
Lentils (masur),KG,105.0,BDT
Bananas (ripe),1 piece,6.5,BDT
Chili (green),KG,160.0,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,45.0,BDT
"Onions (imported, China)",KG,100.0,BDT
Spinach (malabar),KG,27.5,BDT
Spinach (red),KG,31.0,BDT
Wheat flour,KG,52.0,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,172.0,BDT
Sugar,KG,124.75,BDT
Oil (palm),L,122.5,BDT
"Oil (soybean, fortified)",L,148.5,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,155.0,BDT
"Garlic (imported, China)",KG,217.5,BDT
Gourd (bottle),KG,39.0,BDT
Papaya (green),KG,25.0,BDT
Snake gourd,KG,37.75,BDT
Spinach (malabar),KG,21.0,BDT
Spinach (red),KG,24.0,BDT
"Potatoes (Holland, white)",KG,47.0,BDT
Rice (coarse),KG,54.25,BDT
Wheat flour,KG,54.5,BDT
Eggs (brown),1 piece,12.44,BDT
"Fish (live, pangasius)",KG,160.0,BDT
Oil (palm),L,124.0,BDT
"Oil (soybean, fortified)",L,150.5,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,155.0,BDT
Papaya (green),KG,19.0,BDT
Snake gourd,KG,30.0,BDT
Spinach (malabar),KG,22.5,BDT
Spinach (red),KG,17.5,BDT
Wheat flour,KG,57.5,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,185.0,BDT
"Oil (soybean, fortified)",L,149.0,BDT
Bananas (ripe),1 piece,4.75,BDT
Chili (green),KG,195.0,BDT
"Onions (imported, China)",KG,102.5,BDT
Papaya (green),KG,28.0,BDT
Snake gourd,KG,32.5,BDT
Spinach (malabar),KG,17.0,BDT
Spinach (red),KG,27.75,BDT
Rice (coarse),KG,53.0,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
Oil (palm),L,137.5,BDT
Chili (green),KG,160.0,BDT
Gourd (bottle),KG,37.5,BDT
"Onions (imported, China)",KG,97.5,BDT
Snake gourd,KG,35.0,BDT
Wheat flour,KG,49.25,BDT
"Fish (live, pangasius)",KG,180.0,BDT
"Oil (soybean, fortified)",L,150.0,BDT
Lentils (masur),KG,112.5,BDT
Bananas (ripe),1 piece,5.25,BDT
Chili (green),KG,160.0,BDT
"Onions (imported, China)",KG,92.5,BDT
Papaya (green),KG,21.0,BDT
Snake gourd,KG,20.0,BDT
Spinach (red),KG,20.75,BDT
Rice (coarse),KG,50.0,BDT
Wheat flour,KG,52.5,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,156.25,BDT
Oil (palm),L,138.75,BDT
Lentils (masur),KG,130.0,BDT
Bananas (ripe),1 piece,6.75,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,45.0,BDT
Spinach (malabar),KG,36.25,BDT
Spinach (red),KG,47.5,BDT
Rice (coarse),KG,51.75,BDT
Eggs (brown),1 piece,13.19,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,140.0,BDT
"Oil (soybean, fortified)",L,165.0,BDT
Lentils (masur),KG,127.25,BDT
Bananas (ripe),1 piece,4.38,BDT
Chili (green),KG,210.0,BDT
"Garlic (imported, China)",KG,198.75,BDT
Gourd (bottle),KG,48.75,BDT
"Onions (imported, China)",KG,95.75,BDT
Papaya (green),KG,30.0,BDT
Snake gourd,KG,45.0,BDT
Spinach (red),KG,50.0,BDT
Rice (coarse),KG,46.75,BDT
Wheat flour,KG,58.25,BDT
"Fish (live, pangasius)",KG,185.0,BDT
"Meat (chicken, broiler)",KG,177.5,BDT
Lentils (masur),KG,135.0,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,227.5,BDT
"Garlic (imported, China)",KG,206.25,BDT
Gourd (bottle),KG,63.75,BDT
Papaya (green),KG,32.5,BDT
Spinach (malabar),KG,37.5,BDT
Rice (coarse),KG,53.0,BDT
Wheat flour,KG,60.0,BDT
Eggs (brown),1 piece,13.19,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Sugar,KG,122.5,BDT
Oil (palm),L,137.5,BDT
Lentils (masur),KG,132.5,BDT
Bananas (ripe),1 piece,6.25,BDT
Chili (green),KG,215.0,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,52.5,BDT
"Onions (imported, China)",KG,98.75,BDT
Papaya (green),KG,25.0,BDT
Snake gourd,KG,41.25,BDT
Spinach (malabar),KG,32.5,BDT
Spinach (red),KG,50.0,BDT
Eggs (brown),1 piece,12.94,BDT
"Fish (live, pangasius)",KG,185.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,130.0,BDT
Oil (palm),L,153.0,BDT
"Oil (soybean, fortified)",L,157.25,BDT
Lentils (masur),KG,110.0,BDT
Chili (green),KG,268.75,BDT
"Garlic (imported, China)",KG,232.0,BDT
Gourd (bottle),KG,58.75,BDT
Papaya (green),KG,37.5,BDT
Snake gourd,KG,55.0,BDT
Spinach (red),KG,73.75,BDT
"Potatoes (Holland, white)",KG,57.0,BDT
Rice (coarse),KG,58.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,142.25,BDT
"Oil (soybean, fortified)",L,154.0,BDT
Lentils (masur),KG,110.0,BDT
Chili (green),KG,242.5,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,50.0,BDT
Snake gourd,KG,46.25,BDT
Spinach (malabar),KG,40.0,BDT
Rice (coarse),KG,55.75,BDT
Eggs (brown),1 piece,13.31,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Oil (soybean, fortified)",L,155.0,BDT
Chili (green),KG,280.0,BDT
"Garlic (imported, China)",KG,207.5,BDT
Gourd (bottle),KG,53.25,BDT
Papaya (green),KG,31.5,BDT
Snake gourd,KG,48.75,BDT
Rice (coarse),KG,54.25,BDT
Wheat flour,KG,55.25,BDT
Eggs (brown),1 piece,12.75,BDT
"Meat (chicken, broiler)",KG,185.0,BDT
Sugar,KG,131.0,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,290.0,BDT
"Garlic (imported, China)",KG,223.75,BDT
Gourd (bottle),KG,47.0,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,57.5,BDT
Spinach (malabar),KG,32.5,BDT
"Potatoes (Holland, white)",KG,56.75,BDT
Rice (coarse),KG,52.5,BDT
Wheat flour,KG,54.5,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Sugar,KG,131.0,BDT
Oil (palm),L,140.5,BDT
Lentils (masur),KG,127.5,BDT
Chili (green),KG,312.5,BDT
"Garlic (imported, China)",KG,217.5,BDT
Gourd (bottle),KG,61.25,BDT
Snake gourd,KG,53.25,BDT
Spinach (red),KG,58.25,BDT
Wheat flour,KG,53.5,BDT
Eggs (brown),1 piece,13.38,BDT
Oil (palm),L,149.0,BDT
"Oil (soybean, fortified)",L,157.5,BDT
Bananas (ripe),1 piece,5.06,BDT
Chili (green),KG,310.0,BDT
"Garlic (imported, China)",KG,222.5,BDT
Gourd (bottle),KG,61.25,BDT
Papaya (green),KG,33.25,BDT
Snake gourd,KG,58.75,BDT
Spinach (malabar),KG,41.25,BDT
Spinach (red),KG,45.0,BDT
Wheat flour,KG,51.75,BDT
Eggs (brown),1 piece,13.75,BDT
"Meat (chicken, broiler)",KG,185.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,137.0,BDT
"Oil (soybean, fortified)",L,155.25,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,255.0,BDT
"Garlic (imported, China)",KG,207.5,BDT
Gourd (bottle),KG,52.5,BDT
Papaya (green),KG,30.25,BDT
Snake gourd,KG,56.25,BDT
Spinach (malabar),KG,41.25,BDT
"Potatoes (Holland, white)",KG,55.5,BDT
Wheat flour,KG,62.5,BDT
Eggs (brown),1 piece,13.94,BDT
"Oil (soybean, fortified)",L,158.5,BDT
Lentils (masur),KG,127.5,BDT
Bananas (ripe),1 piece,5.94,BDT
Chili (green),KG,230.0,BDT
"Onions (imported, China)",KG,99.5,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,65.0,BDT
Spinach (malabar),KG,36.25,BDT
Spinach (red),KG,62.5,BDT
"Potatoes (Holland, white)",KG,54.0,BDT
Wheat flour,KG,50.5,BDT
Eggs (brown),1 piece,13.06,BDT
"Fish (live, pangasius)",KG,195.0,BDT
"Meat (chicken, broiler)",KG,188.75,BDT
Oil (palm),L,132.5,BDT
"Oil (soybean, fortified)",L,160.5,BDT
Bananas (ripe),1 piece,4.44,BDT
"Garlic (imported, China)",KG,201.5,BDT
"Onions (imported, China)",KG,102.75,BDT
Snake gourd,KG,67.5,BDT
"Potatoes (Holland, white)",KG,43.0,BDT
Rice (Kajla),KG,70.0,BDT
Rice (Nurjahan),KG,70.0,BDT
"Rice (coarse, BR-8/ 11/, Guti Sharna)",KG,67.0,BDT
Wheat flour,KG,43.0,BDT
Eggs (white),1 piece,12.0,BDT
"Fish (dry, belt 10-12"")",KG,420.0,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,240.0,BDT
Milk (powder),500 G,418.75,BDT
"Chili (whole, dry, Indian Teja)",KG,125.0,BDT
Hyacinth (sim),KG,130.0,BDT
"Salt (iodized, Molla)",KG,40.0,BDT
Sugar,KG,85.0,BDT
Dishwashing liquid,1 piece,135.0,BDT
Laundry detergent,1 piece,71.0,BDT
Toilet paper,1 Roll,32.5,BDT
Toothpaste,1 piece,100.0,BDT
"Oil (soybean, fortified)",L,123.0,BDT
Chickpeas,KG,60.0,BDT
Lentils (masur),KG,67.5,BDT
Bananas (green),1 piece,13.0,BDT
Bananas (ripe),1 piece,9.25,BDT
Carrots,KG,345.0,BDT
Chili (green),KG,375.0,BDT
Eggplants,KG,110.0,BDT
"Garlic (imported, China)",KG,131.0,BDT
Ginger (imported),KG,400.0,BDT
Gourd (bitter),KG,100.0,BDT
Gourd (bottle),KG,50.0,BDT
Lemon (medium size),1 piece,6.0,BDT
Oranges (malta),KG,347.5,BDT
Papaya (green),KG,50.0,BDT
Pumpkin,KG,70.0,BDT
Spinach (malabar),KG,15.0,BDT
Tomatoes (red),KG,240.0,BDT
Rice (coarse),KG,49.0,BDT
Wheat flour,KG,50.25,BDT
Eggs (brown),1 piece,13.31,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,195.0,BDT
Sugar,KG,129.5,BDT
Oil (palm),L,143.25,BDT
"Oil (soybean, fortified)",L,155.75,BDT
Lentils (masur),KG,132.5,BDT
Bananas (ripe),1 piece,6.5,BDT
Chili (green),KG,300.0,BDT
Gourd (bottle),KG,47.5,BDT
Papaya (green),KG,36.25,BDT
Snake gourd,KG,60.0,BDT
Spinach (red),KG,32.5,BDT
Rice (coarse),KG,49.0,BDT
"Fish (live, pangasius)",KG,170.0,BDT
Sugar,KG,129.5,BDT
Oil (palm),L,143.25,BDT
"Oil (soybean, fortified)",L,155.75,BDT
Lentils (masur),KG,132.5,BDT
Bananas (ripe),1 piece,6.5,BDT
Chili (green),KG,300.0,BDT
"Garlic (imported, China)",KG,202.5,BDT
"Onions (imported, China)",KG,105.75,BDT
Papaya (green),KG,36.25,BDT
Snake gourd,KG,60.0,BDT
Spinach (red),KG,32.5,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Rice (coarse),KG,50.5,BDT
Eggs (brown),1 piece,13.75,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,188.75,BDT
Sugar,KG,125.0,BDT
Oil (palm),L,142.5,BDT
"Oil (soybean, fortified)",L,160.0,BDT
Lentils (masur),KG,105.0,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,267.5,BDT
"Garlic (imported, China)",KG,200.0,BDT
Gourd (bottle),KG,70.0,BDT
Snake gourd,KG,60.0,BDT
Spinach (red),KG,27.5,BDT
Rice (BRRI-28),KG,67.0,BDT
Rice (BRRI-29),KG,60.0,BDT
Rice (coarse),KG,50.75,BDT
Wheat flour,KG,53.25,BDT
Eggs (brown),1 piece,13.69,BDT
Eggs (white),1 piece,13.5,BDT
"Fish (dry, belt 10-12"")",KG,470.0,BDT
"Fish (live, tilapia)",KG,220.0,BDT
Meat (beef),KG,700.0,BDT
"Meat (chicken, broiler)",KG,197.5,BDT
"Meat (chicken, sonali)",KG,280.0,BDT
Milk (powder),500 G,420.0,BDT
"Chili (whole, dry, Indian Teja)",KG,330.0,BDT
Hyacinth (sim),KG,140.0,BDT
"Salt (iodized, Molla)",KG,40.0,BDT
Sugar,KG,129.0,BDT
"Turmeric (powder, Fresh)",KG,260.0,BDT
Bathing soap,1 piece,55.0,BDT
Dishwashing liquid,1 piece,130.0,BDT
Fuel (diesel),L,111.0,BDT
Fuel (kerosene),L,115.0,BDT
Handwash soap,1 piece,100.0,BDT
Laundry detergent,1 piece,75.0,BDT
Toilet paper,1 Roll,35.0,BDT
Toothpaste,1 piece,100.0,BDT
Oil (mustard),L,210.0,BDT
Oil (palm),L,146.75,BDT
"Oil (soybean, fortified)",L,161.75,BDT
Chickpeas,KG,125.0,BDT
Lentils (masur),KG,137.5,BDT
Apples (royal gala),KG,300.0,BDT
Bananas (green),1 piece,13.0,BDT
Bananas (ripe),1 piece,5.5,BDT
Cabbage,KG,70.0,BDT
Carrots,KG,170.0,BDT
Chili (green),KG,282.5,BDT
"Cucumber (short, khira)",KG,70.0,BDT
Eggplants,KG,110.0,BDT
"Garlic (imported, China)",KG,215.0,BDT
Ginger (imported),KG,200.0,BDT
Gourd (bitter),KG,85.0,BDT
Gourd (bottle),KG,63.75,BDT
Lemon (medium size),1 piece,6.5,BDT
"Onions (imported, India)",KG,110.0,BDT
Pumpkin,KG,60.0,BDT
Snake gourd,KG,53.25,BDT
Spinach (malabar),KG,67.5,BDT
Spinach (red),KG,75.0,BDT
Tomatoes (red),KG,250.0,BDT
"Potatoes (Holland, white)",KG,60.0,BDT
Rice (BRRI-28),KG,66.0,BDT
Rice (BRRI-29),KG,59.0,BDT
Rice (Gazi),KG,47.0,BDT
Wheat flour,KG,60.0,BDT
Eggs (white),1 piece,725.0,BDT
"Fish (dry, belt 10-12"")",KG,400.0,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Fish (live, tilapia)",KG,220.0,BDT
Meat (beef),KG,14.0,BDT
"Meat (chicken, broiler)",KG,190.0,BDT
Milk (powder),500 G,420.0,BDT
"Chili (whole, dry, Indian Teja)",KG,400.0,BDT
Hyacinth (sim),KG,150.0,BDT
Sugar,KG,130.0,BDT
"Turmeric (powder, Fresh)",KG,280.0,BDT
Bathing soap,1 piece,55.0,BDT
Dishwashing liquid,1 piece,130.0,BDT
Firewood,KG,15.0,BDT
Fuel (diesel),L,115.0,BDT
Fuel (gas),12 KG,1450.0,BDT
Fuel (kerosene),L,115.0,BDT
Laundry detergent,1 piece,75.0,BDT
Sanitary pads,10 pcs,110.0,BDT
Toilet paper,1 Roll,30.0,BDT
Toothpaste,1 piece,110.0,BDT
Oil (palm),L,151.5,BDT
"Oil (soybean, fortified)",L,164.0,BDT
Chickpeas,KG,125.0,BDT
Lentils (masur),KG,110.0,BDT
Apples (royal gala),KG,320.0,BDT
Bananas (ripe),1 piece,8.0,BDT
Cabbage,KG,80.0,BDT
Carrots,KG,200.0,BDT
Chili (green),KG,390.0,BDT
"Cucumber (short, khira)",KG,60.0,BDT
Eggplants,KG,100.0,BDT
Ginger (imported),KG,245.0,BDT
Gourd (bitter),KG,90.0,BDT
Gourd (bottle),KG,25.0,BDT
Lemon (medium size),1 piece,5.0,BDT
"Onions (imported, India)",KG,110.0,BDT
Oranges (malta),KG,320.0,BDT
Spinach (malabar),KG,20.0,BDT
Tomatoes (red),KG,280.0,BDT
"Potatoes (Holland, white)",KG,55.0,BDT
Rice (BRRI-28),KG,67.0,BDT
Rice (BRRI-29),KG,60.0,BDT
Rice (Gazi),KG,47.0,BDT
Eggs (white),1 piece,13.5,BDT
"Fish (dry, belt 10-12"")",KG,470.0,BDT
"Fish (tilapia, fresh)",KG,220.0,BDT
Meat (beef),KG,700.0,BDT
"Meat (chicken, sonali)",KG,280.0,BDT
Milk,L,110.0,BDT
Milk (powder),500 G,420.0,BDT
"Chili (whole, dry, Indian Teja)",KG,330.0,BDT
"Salt (iodized, Molla)",KG,40.0,BDT
Sugar,KG,135.0,BDT
"Turmeric (powder, Fresh)",KG,260.0,BDT
Bathing soap,1 piece,55.0,BDT
Firewood,KG,13.0,BDT
Fuel (gas),12 KG,1450.0,BDT
Sanitary pads,10 pcs,110.0,BDT
Toilet paper,1 Roll,35.0,BDT
Toothpaste,1 piece,100.0,BDT
Oil (mustard),L,210.0,BDT
"Oil (soybean, fortified)",L,164.0,BDT
"Beans (mung, large grain)",KG,150.0,BDT
Chickpeas,KG,125.0,BDT
Lentils (masur),KG,110.0,BDT
Bananas (green),1 piece,13.0,BDT
Bananas (ripe),1 piece,7.0,BDT
Cabbage,KG,70.0,BDT
Carrots,KG,170.0,BDT
Chili (green),KG,360.0,BDT
"Cucumber (short, khira)",KG,70.0,BDT
Eggplants,KG,110.0,BDT
Ginger (imported),KG,200.0,BDT
Gourd (bottle),KG,22.0,BDT
Lemon (medium size),1 piece,6.5,BDT
"Onions (imported, India)",KG,110.0,BDT
Oranges (malta),KG,280.0,BDT
Papaya (green),KG,35.0,BDT
Tomatoes (red),KG,250.0,BDT
"Potatoes (Holland, white)",KG,55.75,BDT
Rice (coarse),KG,52.25,BDT
Wheat flour,KG,56.75,BDT
Eggs (brown),1 piece,13.31,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,144.5,BDT
"Oil (soybean, fortified)",L,155.5,BDT
Lentils (masur),KG,111.75,BDT
Chili (green),KG,260.0,BDT
"Garlic (imported, China)",KG,208.75,BDT
Gourd (bottle),KG,42.25,BDT
"Onions (imported, China)",KG,106.75,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,68.75,BDT
"Potatoes (Holland, white)",KG,56.75,BDT
Rice (coarse),KG,46.5,BDT
Eggs (brown),1 piece,14.31,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
Sugar,KG,129.5,BDT
Oil (palm),L,141.75,BDT
"Oil (soybean, fortified)",L,167.5,BDT
Lentils (masur),KG,103.25,BDT
Bananas (ripe),1 piece,6.12,BDT
Chili (green),KG,220.0,BDT
"Garlic (imported, China)",KG,214.0,BDT
Gourd (bottle),KG,58.75,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,75.0,BDT
Spinach (malabar),KG,42.5,BDT
Spinach (red),KG,42.5,BDT
"Potatoes (Holland, white)",KG,56.75,BDT
Wheat flour,KG,61.0,BDT
"Meat (chicken, broiler)",KG,195.0,BDT
"Oil (soybean, fortified)",L,169.75,BDT
Chili (green),KG,297.5,BDT
"Onions (imported, China)",KG,101.5,BDT
Snake gourd,KG,91.25,BDT
"Potatoes (Holland, white)",KG,54.5,BDT
Rice (coarse),KG,55.5,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,13.31,BDT
"Fish (live, pangasius)",KG,165.0,BDT
"Meat (chicken, broiler)",KG,190.0,BDT
Oil (palm),L,145.0,BDT
"Oil (soybean, fortified)",L,162.5,BDT
Lentils (masur),KG,111.75,BDT
Bananas (ripe),1 piece,6.25,BDT
Chili (green),KG,280.0,BDT
"Garlic (imported, China)",KG,200.0,BDT
Gourd (bottle),KG,57.5,BDT
"Onions (imported, China)",KG,105.0,BDT
Papaya (green),KG,38.75,BDT
Snake gourd,KG,50.0,BDT
"Potatoes (Holland, white)",KG,55.75,BDT
Wheat flour,KG,54.75,BDT
Eggs (brown),1 piece,13.62,BDT
"Fish (live, pangasius)",KG,210.0,BDT
"Meat (chicken, broiler)",KG,185.0,BDT
Sugar,KG,135.0,BDT
Oil (palm),L,138.5,BDT
"Oil (soybean, fortified)",L,149.0,BDT
Lentils (masur),KG,115.0,BDT
Bananas (ripe),1 piece,5.25,BDT
Chili (green),KG,285.0,BDT
"Garlic (imported, China)",KG,220.0,BDT
Gourd (bottle),KG,45.0,BDT
Papaya (green),KG,30.0,BDT
Snake gourd,KG,48.75,BDT
Spinach (red),KG,27.5,BDT
"Potatoes (Holland, white)",KG,55.0,BDT
Rice (coarse),KG,53.75,BDT
Eggs (brown),1 piece,13.12,BDT
"Fish (live, pangasius)",KG,140.0,BDT
"Meat (chicken, broiler)",KG,191.25,BDT
Oil (palm),L,141.5,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,6.5,BDT
Chili (green),KG,240.0,BDT
Gourd (bottle),KG,43.75,BDT
"Onions (imported, China)",KG,108.75,BDT
Papaya (green),KG,35.0,BDT
Snake gourd,KG,67.5,BDT
Spinach (malabar),KG,30.0,BDT
Spinach (red),KG,38.75,BDT
Wheat flour,KG,55.0,BDT
Eggs (brown),1 piece,13.81,BDT
"Fish (live, pangasius)",KG,172.5,BDT
"Meat (chicken, broiler)",KG,190.0,BDT
Sugar,KG,130.0,BDT
"Oil (soybean, fortified)",L,161.75,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,210.0,BDT
"Garlic (imported, China)",KG,230.0,BDT
Gourd (bottle),KG,36.75,BDT
"Onions (imported, China)",KG,111.0,BDT
Snake gourd,KG,52.5,BDT
Spinach (malabar),KG,36.25,BDT
Spinach (red),KG,46.25,BDT
Rice (coarse),KG,52.0,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,195.0,BDT
Oil (palm),L,150.5,BDT
"Oil (soybean, fortified)",L,157.0,BDT
Lentils (masur),KG,111.25,BDT
Bananas (ripe),1 piece,4.44,BDT
Chili (green),KG,285.0,BDT
"Garlic (imported, China)",KG,225.0,BDT
Gourd (bottle),KG,60.0,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,55.0,BDT
"Potatoes (Holland, white)",KG,59.25,BDT
Rice (coarse),KG,50.75,BDT
Eggs (brown),1 piece,13.0,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
Sugar,KG,129.0,BDT
"Oil (soybean, fortified)",L,158.0,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,6.88,BDT
Chili (green),KG,200.0,BDT
Gourd (bottle),KG,62.5,BDT
"Onions (imported, China)",KG,118.25,BDT
Snake gourd,KG,67.5,BDT
Spinach (malabar),KG,47.5,BDT
Spinach (red),KG,41.25,BDT
"Potatoes (Holland, white)",KG,56.25,BDT
Rice (coarse),KG,48.25,BDT
Eggs (brown),1 piece,13.12,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,183.75,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,147.0,BDT
Lentils (masur),KG,109.0,BDT
Bananas (ripe),1 piece,4.44,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,65.0,BDT
"Onions (imported, China)",KG,100.5,BDT
Snake gourd,KG,63.75,BDT
Spinach (malabar),KG,30.0,BDT
Rice (coarse),KG,54.0,BDT
Wheat flour,KG,51.75,BDT
Eggs (brown),1 piece,13.88,BDT
"Fish (live, pangasius)",KG,177.5,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,151.75,BDT
Lentils (masur),KG,112.5,BDT
Gourd (bottle),KG,72.5,BDT
"Onions (imported, China)",KG,115.0,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,63.75,BDT
Spinach (malabar),KG,47.5,BDT
Spinach (red),KG,50.0,BDT
"Potatoes (Holland, white)",KG,61.25,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,13.31,BDT
Sugar,KG,129.0,BDT
"Oil (soybean, fortified)",L,155.5,BDT
"Garlic (imported, China)",KG,255.0,BDT
Gourd (bottle),KG,57.5,BDT
Snake gourd,KG,52.5,BDT
"Potatoes (Holland, white)",KG,56.25,BDT
Eggs (brown),1 piece,14.12,BDT
"Meat (chicken, broiler)",KG,177.5,BDT
Sugar,KG,129.0,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,6.88,BDT
"Garlic (imported, China)",KG,218.25,BDT
Gourd (bottle),KG,60.0,BDT
"Onions (imported, China)",KG,119.0,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,66.25,BDT
Spinach (malabar),KG,41.25,BDT
Spinach (red),KG,60.0,BDT
Rice (coarse),KG,56.5,BDT
Wheat flour,KG,49.0,BDT
"Meat (chicken, broiler)",KG,192.5,BDT
Sugar,KG,127.0,BDT
"Oil (soybean, fortified)",L,161.0,BDT
Lentils (masur),KG,139.0,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,240.0,BDT
"Garlic (imported, China)",KG,225.0,BDT
Gourd (bottle),KG,60.0,BDT
"Onions (imported, China)",KG,112.5,BDT
Papaya (green),KG,25.0,BDT
Snake gourd,KG,55.0,BDT
Spinach (malabar),KG,28.75,BDT
Spinach (red),KG,43.75,BDT
"Potatoes (Holland, white)",KG,58.25,BDT
Wheat flour,KG,49.0,BDT
"Fish (live, pangasius)",KG,145.0,BDT
"Meat (chicken, broiler)",KG,187.5,BDT
Oil (palm),L,150.0,BDT
Lentils (masur),KG,142.5,BDT
Bananas (ripe),1 piece,4.69,BDT
Chili (green),KG,292.5,BDT
"Garlic (imported, China)",KG,230.0,BDT
Gourd (bottle),KG,65.0,BDT
"Onions (imported, China)",KG,114.0,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,65.0,BDT
Spinach (malabar),KG,25.0,BDT
"Potatoes (Holland, white)",KG,57.25,BDT
Rice (coarse),KG,53.0,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,191.25,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,140.75,BDT
"Oil (soybean, fortified)",L,157.0,BDT
Lentils (masur),KG,111.0,BDT
Papaya (green),KG,35.0,BDT
Snake gourd,KG,50.0,BDT
Spinach (malabar),KG,42.5,BDT
Spinach (red),KG,45.0,BDT
Rice (coarse),KG,51.0,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,190.0,BDT
Sugar,KG,130.0,BDT
Oil (palm),L,132.5,BDT
"Oil (soybean, fortified)",L,152.5,BDT
Lentils (masur),KG,122.5,BDT
Chili (green),KG,300.0,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,70.0,BDT
Snake gourd,KG,60.0,BDT
Spinach (malabar),KG,27.5,BDT
Spinach (red),KG,37.5,BDT
Rice (coarse),KG,54.5,BDT
Wheat flour,KG,54.5,BDT
Eggs (brown),1 piece,12.94,BDT
"Fish (live, pangasius)",KG,150.0,BDT
"Meat (chicken, broiler)",KG,196.25,BDT
"Oil (soybean, fortified)",L,159.75,BDT
Lentils (masur),KG,147.5,BDT
Chili (green),KG,210.0,BDT
"Garlic (imported, China)",KG,190.0,BDT
Gourd (bottle),KG,45.0,BDT
"Onions (imported, China)",KG,125.0,BDT
